Month,Ather_Registrations,MoM_Growth_%,YoY_Growth_%
2023-01-01,9682,,
2023-02-01,10707,10.586655649659171,
2023-03-01,12787,19.42654338283365,
2023-04-01,8335,-34.8166106201611,
2023-05-01,16412,96.90461907618477,
2023-06-01,4860,-70.38752132585913,
2023-07-01,7168,47.48971193415639,
2023-08-01,7734,7.89620535714286,
2023-09-01,7730,-0.05171967933799149,
2023-10-01,9074,17.38680465717981,
2023-11-01,10059,10.855190654617598,
2023-12-01,7262,-27.80594492494284,
2024-01-01,10172,40.07160561828697,5.060937822763889
2024-02-01,9939,-2.2906016515926053,-7.172877556738577
2024-03-01,18690,88.04708723211591,46.164072886525375
2024-04-01,4369,-76.6238630283574,-47.58248350329934
2024-05-01,6642,52.02563515678644,-59.529612478674146
2024-06-01,6493,-2.243300210779886,33.60082304526748
2024-07-01,7102,9.37933158786386,-0.9207589285714302
2024-08-01,5045,-28.96367220501267,-34.7685544349625
2024-09-01,5902,16.98711595639246,-23.64812419146184
2024-10-01,7004,18.671636733310738,-22.81243112188671
2024-11-01,5373,-23.286693318103946,-46.58514762898896
2024-12-01,3818,-28.941001302810342,-47.424951803910766
2025-01-01,4839,26.74174960712414,-52.428234368855684
2025-02-01,4830,-0.18598884066955979,-51.40356172653184
2025-03-01,6135,27.01863354037266,-67.17495987158908
2025-04-01,5051,-17.66911165444173,15.609979400320428
2025-05-01,5036,-0.2969708968521112,-24.179464016862397
2025-06-01,5524,9.690230341540907,-14.923764053596178
2025-07-01,5731,3.7472845763939278,-19.30442128977753
2025-08-01,5804,1.2737742104344862,15.044598612487615
2025-09-01,5252,-9.510682288077188,-11.013215859030833
2025-10-01,7058,34.386900228484386,0.7709880068532238
2025-11-01,5495,-22.145083593085857,2.2706123208635853
2025-12-01,4698,-14.504094631483166,23.048716605552656
2026-01-01,5553,18.199233716475092,14.75511469311841
2026-02-01,4609,-16.999819917161897,-4.575569358178056
2026-03-01,6908,49.88066825775657,12.599837000814995
2026-04-01,5958,-13.752171395483492,17.956840229657487
2026-05-01,5889,-1.158106747230614,16.938046068308175
2026-06-01,6141,4.279164544065206,11.169442433019562
2026-07-01,2802,-54.37225207620908,-51.10800907346014
2026-08-01,392,-86.00999286224126,-93.2460372157133
